head,tail,relation,context
肺动脉高压,活血,疾病-治疗,...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反应，慢阻肺合并肺动脉高压患者周，记录不良反应包括项研究[]报道，玉屏风
慢性阻塞性肺疾病,益肺灸,疾病-治疗,...段临床问题：对于慢阻肺稳定期患者，联合中医外 锦、穴位贴敷、益肺灸治疗可显著改善患者生活质量。
慢性阻塞性肺疾病,宣肺止咳,疾病-治疗,宣肺止咳的功效，联合使用可改善慢阻肺风寒袭肺证使用方法：使用方法见表...
支气管扩张,肺康复,疾病-治疗,...生活质量? 是否可延缓肺功能下 慢阻肺稳定期疗法主要推荐使用支气管扩张剂，尤其是吸入降? 是否可改善焦虑抑郁状态? 贴敷治疗/非药物疗法是否 的支气管扩张剂，以及应用肺康复等非药物疗法;而年可改
肺栓塞,无创通气,疾病-治疗,...疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治
心力衰竭,肺减容手术,疾病-治疗,对于接受长效支气管舒张剂治疗的慢阻肺肺减容术患者，如呼吸困难无明显好转，应注意心力衰竭。
肺癌,戒烟,疾病-治疗,患者，预防肺癌最好的措施是戒烟。
支气管扩张,体位引流,疾病-治疗,体位引流对支气管扩张患咳嗽，抗真菌治疗有效。
肺炎,无创通气,疾病-治疗,...服糖皮质激素与慢阻肺急括患者教育、肺康复治疗、长期氧疗、家庭无创通气、 性加重肺炎及死亡风险增加有关。
慢性阻塞性肺疾病,舒肺贴,疾病-治疗,...中西医结合治疗方案介入慢阻肺急性加重的拳、六字诀、穴位贴敷、舒肺贴、针刺、传统艾灸、 治疗时机？
慢性支气管炎,戒烟,疾病-治疗,"有急性加重的 且患有慢性支气管炎的 非药物治疗：慢阻肺常见的非药物治疗包括FEV<%.
患者，可考虑口服罗氟司特治疗，但目前国内大部 戒烟、吸氧、呼吸支持、呼吸康复、疫苗接种、营养心分地区尚无此药口."
心血管疾病,心绞痛,疾病-并发症,...究表明 抑制剂（罗氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺乏患者给予补充维 中、不稳定心绞痛、短暂性脑缺血发作）的风险增生素
慢性阻塞性肺疾病,抑郁症,疾病-并发症,...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质...
心力衰竭,抑郁症,疾病-并发症,...规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。
糖尿病,代谢综合征,疾病-并发症,六、合并症 （四）代谢综合征与糖尿病慢阻肺经常与其他疾病（合并症）共存，这些疾 代谢综合征和 型...
慢性阻塞性肺疾病,代谢综合征,疾病-并发症,...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌..
支气管扩张,焦虑症,疾病-并发症,研究发现，合并支气管扩张与慢阻肺%~%焦虑和抑郁是慢阻肺重要合并症，常发生于年 急性...
支气管扩张,抑郁症,疾病-并发症,研究发现，合并支气管扩张与慢阻肺%~%焦虑和抑郁是慢阻肺重要合并症，常发生于年 急性...
慢性阻塞性肺疾病,焦虑症,疾病-并发症,...uncil mMRC慢阻肺患者经常伴有其他慢性疾病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质...
慢性阻塞性肺疾病,心绞痛,疾病-并发症,近年来，大家在这方面做了大量的研究工作，然而，笔者认为，当慢阻肺患者出现以下症状和体征时应 必须看到 临床评估和治疗中存...
支气管哮喘,心绞痛,疾病-并发症,"... 心悸、 , 、 、等因素是 的重要诱因 近年来 嗜酸粒 对支气管舒张剂的需求增加AECOPD 。"
慢性阻塞性肺疾病,胸腔积液,疾病-并发症,...吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是...
慢性阻塞性肺疾病,支气管扩张,疾病-并发症,方案B锚定：支气管扩张是慢阻肺的鉴别诊断
慢性阻塞性肺疾病,呼吸衰竭,疾病-并发症,方案B锚定：呼吸衰竭是慢阻肺的严重并发症
慢性阻塞性肺疾病,支气管哮喘,疾病-并发症,方案B锚定：支气管哮喘是慢阻肺的鉴别诊断
慢性阻塞性肺疾病,右心衰竭,疾病-并发症,方案B锚定：右心衰竭是慢阻肺的严重并发症
慢性阻塞性肺疾病,肺炎,疾病-并发症,方案B锚定：肺炎是慢阻肺的鉴别诊断
慢性阻塞性肺疾病,肺栓塞,疾病-并发症,方案B锚定：肺栓塞是慢阻肺的并发症
慢性阻塞性肺疾病,心肌梗死,疾病-并发症,方案B锚定：心肌梗死是慢阻肺的合并症
慢性阻塞性肺疾病,心血管疾病,疾病-并发症,方案B锚定：心血管疾病是慢阻肺的合并症
慢性阻塞性肺疾病,心力衰竭,疾病-并发症,方案B锚定：心力衰竭是慢阻肺的合并症
慢性阻塞性肺疾病,肺癌,疾病-并发症,方案B锚定：肺癌是慢阻肺的合并症
慢性阻塞性肺疾病,糖尿病,疾病-并发症,方案B锚定：糖尿病是慢阻肺的合并症
慢性阻塞性肺疾病,阻塞性睡眠呼吸暂停,疾病-并发症,方案B锚定：阻塞性睡眠呼吸暂停是慢阻肺的合并症
慢性阻塞性肺疾病,肺结核,疾病-并发症,方案B锚定：肺结核是慢阻肺的鉴别诊断
慢性阻塞性肺疾病,支气管炎,疾病-并发症,方案B锚定：支气管炎是慢阻肺的相关疾病
慢性阻塞性肺疾病,肺动脉高压,疾病-并发症,方案B锚定：肺动脉高压是慢阻肺的并发症
慢性阻塞性肺疾病,慢性支气管炎,疾病-并发症,方案B锚定：慢性支气管炎是慢阻肺的相关疾病
慢性阻塞性肺疾病,贫血,疾病-并发症,方案B锚定：贫血是慢阻肺的合并症
慢性阻塞性肺疾病,骨质疏松症,疾病-并发症,方案B锚定：骨质疏松症是慢阻肺的合并症
心力衰竭,心绞痛,疾病-并发症,...动）急性冠状动脉综合征 心电图 呼吸困难加剧、胸痛、新发现的心力衰竭体征、心脏生物标志物水平肌钙蛋白 升高；
肺癌,抑郁症,疾病-并发症,...心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流...
肺癌,焦虑症,疾病-并发症,...心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流...
心血管疾病,焦虑症,疾病-并发症,...病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养...
心血管疾病,抑郁症,疾病-并发症,...病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养...
骨质疏松症,焦虑症,疾病-并发症,危害（ ）：使吸烟者认识② Risk病）、骨骼肌功能障碍、骨质疏松症、焦虑 抑郁、睡 到吸烟的严重健康危害。
骨质疏松症,抑郁症,疾病-并发症,危害（ ）：使吸烟者认识② Risk病）、骨骼肌功能障碍、骨质疏松症、焦虑 抑郁、睡 到吸烟的严重健康危害。
流行性感冒,焦虑症,疾病-并发症,流行性感冒（流感）疫苗接种可肺患者焦虑抑郁症状，增加患者治疗依从性［ ...
流行性感冒,抑郁症,疾病-并发症,流行性感冒（流感）疫苗接种可肺患者焦虑抑郁症状，增加患者治疗依从性［ ］；
肺栓塞,胸腔积液,疾病-并发症,...吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢...
心肌梗死,心绞痛,疾病-并发症,...氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺乏患者给予补充维 中、不稳定心绞痛、短暂性脑缺血发作）的风险增生素 ［］能有效预防慢
肺癌,心绞痛,疾病-并发症,...应 必须看到 临床评估和治疗中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢...
心血管疾病,代谢综合征,疾病-并发症,...病，常见的表慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌...
肺癌,代谢综合征,疾病-并发症,...慢性阻塞性肺疾病患者气流受限严重程度的合并症包括心血管疾病、代谢综合征、骨质疏松肺功能分级［症、抑郁和焦虑、肺癌、营养不良和骨骼肌功能障占预计值百分比（使用肺功能分级 气流...
肺炎,胸腔积液,疾病-并发症,...肿大、杵状 分组方法，还是按照哮喘病情控制水平进行评估指趾、胸腔积液、阻塞性肺炎、阻塞性肺不张、阻塞 呢？
心力衰竭,胸腔积液,疾病-并发症,...吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的...
呼吸衰竭,胸腔积液,疾病-并发症,"...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸腔积液 心包积液 肺部 等[] 级"
肺结核,代谢综合征,疾病-并发症,"...a October,,Vol.,No.阻肺很容易合并糖尿病、代谢综合征，而患糖尿病 须正视和重视慢阻肺与其发生的各种合并症之间后则容易并发肺结核。"
肺癌,胸腔积液,疾病-并发症,...应 必须看到 临床评估和治疗中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢阻肺的 、、、ACOS A B C消瘦、胸痛、咯血、声音嘶哑、浅表淋巴
支气管哮喘,胸腔积液,疾病-并发症,...肿大、杵状 分组方法，还是按照哮喘病情控制水平进行评估指趾、胸腔积液、阻塞性肺炎、阻塞性肺不张、阻塞 呢？
肺炎,心绞痛,疾病-并发症,...方法，还是按照哮喘病情控制水平进行评估指趾、胸腔积液、阻塞性肺炎、阻塞性肺不张、阻塞 呢？
糖尿病,心绞痛,诱发-急性加重,COPD患者面临着更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
糖尿病,抑郁症,诱发-急性加重,...者面临着更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
贫血,心绞痛,诱发-急性加重,COPD患者面临着更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
贫血,抑郁症,诱发-急性加重,...更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
慢性阻塞性肺疾病,乏力,诱发-急性加重,( 、初始抗菌治疗的疗效 抗菌治疗既要关注 肌肉酸痛 全身乏力和呼吸道感染 时间 并、 ) <d患者的短期疗效 如迅速改善...
肺结核,慢性咳嗽,诱发-急性加重,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结核等）鉴道感染史和（或）有慢阻肺危险因素暴露史的患者，别具有重...
肺结核,咳痰,诱发-急性加重,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结核等）鉴道感染史和（或）有慢阻肺危险因素暴露史的患者，别具有重...
肺结核,呼吸困难,诱发-急性加重,线胸片对确定肺部并 对有慢性咳嗽或咳痰、呼吸困难、反复下呼吸发症及与其他疾病（如肺间质纤维化、肺结核等）鉴道感染史和（或）有慢阻肺危险因素暴露史的患者，别具有重...
心力衰竭,呼吸困难,诱发-急性加重,"...加重风险与严重程度 并借助客观检查进一步 水平升高有助于鉴别心力衰竭引起, NT-proBNP)确定如胸部CT肺气肿气道壁增厚及慢性支气 的急性呼吸困难[]。"
阻塞性睡眠呼吸暂停,慢性咳嗽,诱发-急性加重,引起咳嗽的独立危险因素包括：吸烟悬雍垂过长、阻塞性睡眠呼吸暂停% ACEI史、 引起咳嗽的既往史、东亚人（华人）等，与 气...
心肌梗死,慢性咳嗽,诱发-急性加重,...，有痰重症疾病 非重症疾病而不易咳出者使用祛痰剂或黏痰溶急性心肌梗死、左心衰竭、 感染 原有疾病加重 环境职业因素 解剂可在一定...
支气管炎,慢性咳嗽,诱发-急性加重,...等)联合会于武汉举办的肺系病学术交流会上进行了第和急性气管－支气管炎; 亚急性咳嗽主要包括感染二次共识论证会，根据专家意见进一步...
支气管炎,喘息,诱发-急性加重,...性结果 性咳嗽，感染因素依旧存在，可能需要抗感染治疗，前，伴喘息的急性支气管炎成人患者，使用 受体 建议考虑此部分患者转诊至专科医院，明确...
糖皮质激素,慢性咳嗽,诱发-急性加重,...感染的病原菌对口服. ICS疗 周以上，初期可短期口服小剂量糖皮质激素 抗菌药物治疗无反应，或口服抗菌药物治疗失败时（ ）［ ， ...
抗组胺药物,慢性咳嗽,诱发-急性加重,...症状、避免急性加重，建议在患者一般情治疗：吸入 和（或）口服抗组胺药物治 况差和需要住院治疗时，或所感染的病原菌对口服. ICS疗...
CT,呼吸困难,诱发-急性加重,"...升高有助于鉴别心力衰竭引起, NT-proBNP)确定如胸部CT肺气肿气道壁增厚及慢性支气 的急性呼吸困难[]。"
慢性阻塞性肺疾病,肌肉酸痛,诱发-急性加重,( 、初始抗菌治疗的疗效 抗菌治疗既要关注 肌肉酸痛 全身乏力和呼吸道感染 时间 并、 ) <d患者的短期疗效 ...
肺功能,肌肉酸痛,诱发-急性加重,...在 （一）慢阻肺的筛查和病例发现早期出现相应感染症状（发热、肌肉酸痛、全身乏力 有条件的基层医疗机构可以直接用肺功能检和呼吸道感染）并且正处于流行病学暴发时期 查设备开展筛查和...
肺功能,乏力,诱发-急性加重,...肺的筛查和病例发现早期出现相应感染症状（发热、肌肉酸痛、全身乏力 有条件的基层医疗机构可以直接用肺功能检和呼吸道感染）并且正处于流行病学暴发时期 查设备开展筛查和...
肺癌,咳痰,诱发-急性加重,对于 病变，如支气管肺癌、异物、结核、复发性多软骨炎‑能自发咳痰的患者，自发痰细胞学检查具有与诱导 等引起的咳嗽，但不推荐将...
支气管哮喘,心动过速,诱发-急性加重,...恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致...
支气管炎,心动过速,诱发-急性加重,...姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应增加有关［］。
慢性阻塞性肺疾病,心动过速,诱发-急性加重,...姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致...
补肺,呼吸困难,诱发-急性加重,...评估的基础上，可考虑更换吸入装置或药RCT研究[]报告，联合补肺活血胶囊治疗例慢阻 物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措
活血,呼吸困难,诱发-急性加重,...的基础上，可考虑更换吸入装置或药RCT研究[]报告，联合补肺活血胶囊治疗例慢阻 物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，
戒烟,中成药,诱发-急性加重,物的排出;鼓励患者咳嗽、排痰、戒烟、预防感冒及呼中成药:) 生脉饮口服液( 证据级别: D; 推荐强 吸道感染;在...
慢性阻塞性肺疾病,呼吸道感染,诱发-急性加重,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇...
糖尿病,呼吸道感染,诱发-急性加重,...患病高风险人群 凡有慢阻肺危险结合中国的临床实际，参考近年来糖尿病和高脂血症 因素如年龄≥ 岁、早产、出生低体质量、儿童时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中
贫血,呼吸道感染,诱发-急性加重,COPD患者面临着更高的心肌梗塞、心绞痛、呼吸道感染、骨质疏松、骨折、糖尿病、抑郁症、睡眠障碍、青光眼和贫血的风险。
慢性阻塞性肺疾病,肺康复,诱发-急性加重,（四）体力活动和肺康复 的急性加重患者有明确的病毒或细菌感染证鼓励所有慢阻肺患者保...
慢性支气管炎,吸烟,诱发-急性加重,...A+ICS ICS出院早期的 患者，仍处于急性加 （ 且患有慢性支气管炎）或阿奇霉素（既AECOPD FEV<%重 稳定期的过渡期，易出现病情反复、诱发心血管 往吸烟患者），也可尝试生物制剂。
肺炎,激动剂,诱发-急性加重,与特定活性药物组合相关的不良事件的评估，如长效β 激动剂和吸入性糖皮质激素联用，需要评估是否增加肺炎发生率或降低呼吸道感染。
肺炎,呼吸道感染,诱发-急性加重,"...咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球菌 其次为铜绿假单胞菌 革兰阴性肠杆菌d , , 、 、或 心动过速 "
鼻窦炎,呼吸道感染,诱发-急性加重,嗽主要包括急性上呼吸道感染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术交流会上进行了第和急性气管－...
支气管炎,呼吸道感染,诱发-急性加重,嗽主要包括急性上呼吸道感染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术交流会上进行了第和急性气管－支气管炎; 亚急性
慢性阻塞性肺疾病,细菌感染,诱发-急性加重,"...经常冬季咳嗽 、 咳痰 , 伴或不伴气短, AECOPD 非慢性阻塞性肺疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细菌感染 空气污染和寒冷 ,, 、 评估全身性并发症 药物使用及依从.."
慢性支气管炎,呼吸道感染,诱发-急性加重,...可有效预 疗 年（ mg/次， 次/d）可有效降低慢阻肺急防呼吸道感染、减少慢性支气管炎急性感染发作次 性加重次数并缩短急性加重期持续时间。
慢性阻塞性肺疾病,空气污染,诱发-急性加重,...：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸...
支气管哮喘,呼吸道感染,诱发-急性加重,"mMRC ,总之 呼吸道病毒感染是导致 的常 发热和上呼吸道感染症状 , 如经常冬季咳嗽 、 咳痰 , 伴或不伴气短, AECOPD 非慢性阻塞性肺疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细"
慢性阻塞性肺疾病,肺减容手术,诱发-急性加重,"的禁 慢阻肺急性加重的病因和诱发因素：慢阻肺LVRS.
忌证包括： 占预计值 ；"
心力衰竭,糖皮质激素,诱发-急性加重,...现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FEV%pred<
心力衰竭,抗菌药物,诱发-急性加重,... ( )异常表现包括右心房增大 右心室肥厚 右束支传 有使用抗菌药物或口服糖皮质激素治疗 病程迁、 、 ( 、导阻滞 肢体导联电压低 型 电轴右 延 每年急性加重超过 次、 、SSS、 、、FE
慢性阻塞性肺疾病,抗菌药物,诱发-急性加重,"西班牙 诊断和治疗指南中抗菌药物 患者 临床上发现合并医院获得性肺炎AECOPD AECOPD ,推荐[]:()对于无铜绿假单胞菌感染危 或者呼吸机相关性肺炎可以结合影像学痰液性状险因素的患者 主要依"
慢性阻塞性肺疾病,抗感染,诱发-急性加重,...冷汗淋漓、精神萎靡的患者，在有创—无创正压通气、吸氧、平喘、抗感染治疗的基础上，推 无创序贯机械通气和基础治疗（解痉平喘药物、...
肺炎,糖皮质激素,诱发-急性加重,相对少见的病原体包括肺炎 较长时间使用广谱抗菌药物和（或）近期反复全身PA衣原体、肺炎支原体、军团菌、金黄色葡萄球菌 应用糖皮质激素治疗的患者，应注意真菌感染可中华结核和呼吸杂志 年 月第 卷...
心力衰竭,抗感染,诱发-急性加重,心力衰竭加重需与慢阻肺急性加重进行鉴抗感染制剂 大环内酯类药物疫苗 流感疫苗、肺炎球菌疫苗 别，合并慢...
肺炎,抗感染,诱发-急性加重,...社区 痰多质黏色黄，舌红苔黄的患者，在止咳化痰、平喘、获得性肺炎患者日，报告不良反应共例，包括恶心、 持续低流量吸氧、抗感染基础上推荐联合使用痰热清注上腹部不适、静脉炎，与对照组比较，...
肺癌,短效β2受体激动剂,诱发-急性加重,...因可能诱发心房颤动，不利于控制心室 （ ）筛查可及时发现早期肺癌，可作为改善CT LDCT率［ ， ］。
变应性鼻炎,血常规,诱发-急性加重,由变应性鼻炎引起的 、 、X UACS CVA AC外周血常规：白细胞计数和中性粒细胞分类 患者的阳性比例较高， 亦有一定...
心肌梗死,呼吸道感染,诱发-急性加重,急性咳嗽主要与上呼吸道感染有关，但亦有可 （二）急性气管 支气管炎能是少数严重疾病的征象之一，如急性心肌梗死、 急性气管 支气管炎是由生物性或非生物性因左心功能不全、肺...
肺栓塞,呼吸道感染,诱发-急性加重,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心
支气管哮喘,口服抗菌药物,诱发-急性加重,相关检查，治疗 感冒 急性支 其他 哮喘 慢性支 支气管 其他气管炎 气管炎 扩张 如有明确细菌感染征象，如咳脓性图急性咳嗽的诊断流程图 痰或外周血白细胞计数增高者，可· · 中华全科医师杂志 年 月
支气管哮喘,细菌感染,诱发-急性加重,"...性阻塞性肺疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细菌感染 空气污染和寒冷 ,, 、 评估全身性并发症 药物使用及依从性 如胸痛 下肢水肿 心悸、 , 、 、等因素是 的重要诱因 近年"
支气管炎,激动剂,诱发-急性加重,...咳嗽，感染因素依旧存在，可能需要抗感染治疗，前，伴喘息的急性支气管炎成人患者，使用 受体 建议考虑此部分患者转诊至专科医院，明确其感染激动剂可能受益。
支气管炎,抗感染,诱发-急性加重,未得到病原菌阳性结果 性咳嗽，感染因素依旧存在，可能需要抗感染治疗，前，伴喘息的急性支气管炎成人患者，使用 受体 建议考虑此部分患者转诊至专科医院，明确...
鼻窦炎,抗菌药物,诱发-急性加重,细菌性鼻窦炎多为混合感染，抗菌药物应覆 （）中医认为 多与风邪犯肺、肺气失宣有①CVA盖革兰阳...
鼻窦炎,混合感染,诱发-急性加重,细菌性鼻窦炎多为混合感染，抗菌药物应覆 （）中医认为 多与风邪犯肺、肺气失宣有①CV...
阻塞性睡眠呼吸暂停,ACEI,诱发-急性加重,引起咳嗽的独立危险因素包括：吸烟悬雍垂过长、阻塞性睡眠呼吸暂停% ACEI史、 引起咳嗽的既往史、东亚人（华人）等，与 气管疾病 气管...
阻塞性睡眠呼吸暂停,吸烟,诱发-急性加重,引起咳嗽的独立危险因素包括：吸烟悬雍垂过长、阻塞性睡眠呼吸暂停% ACEI史、 引起咳嗽的既往史、东亚人（华人）等，与 气...
支气管扩张,细菌感染,诱发-急性加重,肺功能检查提示限制性通气功能障碍支气管扩张症 大量脓痰，部分患者可表现为咯血，常伴有细菌感染，听诊可闻及粗湿啰音，可见杵状指， 线胸片或 示支气管扩X ...
肺炎,细菌感染,诱发-急性加重,阻肺急性加重患者合并细菌感染时最常见的临床 中西医结合治疗急性呼吸衰竭可能有助于提高总证候，针对痰热壅肺证患者，在西医规范治疗基础 有效率、撤机成功率、改善血氧和二氧化碳分压、上，酌情加用清热化痰类中
心力衰竭,呼吸道感染,诱发-急性加重,...的诱发因素，并积极采取行动和措施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心
肺栓塞,肺功能,诱发-急性加重,引起相似症状的其他疾病，如肺炎、肺栓塞、心力衰 （）肺功能测定：不推荐慢阻肺患者在急性加竭等。
心力衰竭,CT,诱发-急性加重,"...加重风险与严重程度 并借助客观检查进一步 水平升高有助于鉴别心力衰竭引起, NT-proBNP)确定如胸部CT肺气肿气道壁增厚及慢性支气 的急性呼吸困难[]。"
心力衰竭,吸烟,诱发-急性加重,...施避免：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或
支气管哮喘,气候变化,诱发-急性加重,哮喘患者的气道黏液纤毛清除功能较对照 其在遇到刺激物、气候变化及感染加重时尤为明显。
鼻窦炎,抗感染,诱发-急性加重,诊断：根据慢性咳嗽病史、支气管激发试验‑细菌性鼻窦炎多为混合感染，抗感染是重要治疗措 和抗哮喘治疗有效综合分析作出诊断。
支气管哮喘,混合感染,诱发-急性加重,诊断：根据慢性咳嗽病史、支气管激发试验‑细菌性鼻窦炎多为混合感染，抗感染是重要治疗措 和抗哮喘治疗有效综合分析作出诊断。
支气管哮喘,抗感染,诱发-急性加重,诊断：根据慢性咳嗽病史、支气管激发试验‑细菌性鼻窦炎多为混合感染，抗感染是重要治疗措 和抗哮喘治疗有效综合分析作出诊断。
支气管扩张,ACEI,诱发-急性加重,支气管扩张和管腔变形，支气管扩张症的主要病变 （四） 和其他药物诱发的咳嗽ACEI部位为亚段支气管。
支气管哮喘,空气污染,诱发-急性加重,"...疾病肺部疾病病史 如曾疑似哮喘见触发因素 下呼吸道细菌感染 空气污染和寒冷 ,, 、 评估全身性并发症 药物使用及依从性 如胸痛 下肢水肿 心悸、 , 、 、等因素是 的重要诱因 近年来 嗜酸粒"
糖尿病,吸烟,诱发-急性加重,...患病高风险人群 凡有慢阻肺危险结合中国的临床实际，参考近年来糖尿病和高脂血症 因素如年龄≥ 岁、早产、出生低体质量、儿童时等慢性疾病管理的临床经验，邀请多位慢阻肺专家 期反复发生下呼吸道感染、中
贫血,肺功能,诱发-急性加重,确定有无感染，有信心 有无贫血，合并其他血液疾病等我睡得好、、、、、因为我有肺病我 肺功能检查 含支气管舒张试验。
支气管哮喘,污染物,诱发-急性加重,...恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应...
支气管炎,污染物,诱发-急性加重,...有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致的肺部和全身炎症反应增加有关［］。
