关系类型	头实体	尾实体	头类型	尾类型	头原文	尾原文	文献编号	匹配类型	精简上下文	审核状态	修改建议	备注	_source
危险因素-疾病	吸烟	心血管疾病	Disease	RiskFactor	心血管疾病	吸烟	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	对于暂时没有戒烟意愿的吸烟者采取慢阻肺合并症的评估：在对慢阻肺患者进行 “ ”干预措施增强其戒烟动机，“ ”包括： 相关.RR ①病情严重程度的综合评估时，还应注意患者的各种 （ ）：使吸烟者认识到戒烟与其自身和家Relevance全身合并症，如心血管疾病（包括外周性血管疾 人的健康密切相关。	待审核		由相关细化为危险因素-疾病（特殊实体对（反转））	cooccur
疾病-并发症	骨质疏松症	焦虑症	Disease	Complication	骨质疏松症	焦虑	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	危害（ ）：使吸烟者认识② Risk病）、骨骼肌功能障碍、骨质疏松症、焦虑 抑郁、睡 到吸烟的严重健康危害。	待审核		由相关细化为疾病-并发症（类型组合规则）	cooccur
疾病-并发症	骨质疏松症	抑郁症	Disease	Complication	骨质疏松症	抑郁	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	危害（ ）：使吸烟者认识② Risk病）、骨骼肌功能障碍、骨质疏松症、焦虑 抑郁、睡 到吸烟的严重健康危害。	待审核		由相关细化为疾病-并发症（类型组合规则）	cooccur
药物-缓解-症状	长效β2受体激动剂	头痛	Medication	Symptom	LABA	头痛	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...h,Vol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	长效β2受体激动剂	头晕	Medication	Symptom	LABA	头晕	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...ol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
检查-评估-症状	肺功能	头痛	Examination	Symptom	肺功能	头痛	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...is,March,Vol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur
检查-评估-症状	肺功能	头晕	Examination	Symptom	肺功能	头晕	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...is,March,Vol.,No.更好的持续扩张小气道，改善肺功能和呼吸 头痛、头晕。	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur
药物-缓解-症状	长效β2受体激动剂	呼吸困难	Medication	Symptom	LABA	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	在以减少急性加重为治疗目标的随访路径中， 无论是以改善呼吸困难还是控制急性加重为呼吸困难 急性加重LAMA LABA LA...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-导致-并发症	吸入药物	呼吸困难	Medication	Symptom	吸入药物	呼吸困难	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...次为频繁加重，应考虑转诊至专科≥医生处就诊（二）慢阻肺的随访吸入药物有无不良反应，使用吸入糖皮质激素是否漱口对于已纳入慢性病综合管理的慢阻肺患者，应运动耐量： 呼吸困难分级 级或以上，转诊进行呼mMRC定期随访及评估，每 个月检...	待审核		由相关细化为药物-导致-并发症（上下文关键词）	cooccur
药物-缓解-症状	LABA联合LAMA	慢性咳嗽	Medication	Symptom	LABA+LAMA	咳嗽	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以LABA+LAMA劳，伴食欲减退作为初始治疗选择，同时基肺肾两虚证：咳嗽、痰白质...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	吸入药物	慢性咳嗽	Medication	Symptom	吸入药物	咳嗽	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...D治疗策略：联合玉屏风颗粒 强推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	长效毒蕈碱拮抗剂	呼吸困难	Medication	Symptom	LAMA	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	在以减少急性加重为治疗目标的随访路径中， 无论是以改善呼吸困难还是控制急性加重为呼吸困难 急性加重LAMA LABA LA...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	LABA联合LAMA	呼吸困难	Medication	Symptom	LABA+LAMA	呼吸困难	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	一些患者如果既往用LABA+ICS能吸入技术及依从性 中药治疗 启动管理体力活动和运动 非药物治疗 戒烟 够控制呼吸困难和急性加重，仍然可以继续用，但需要进行呼吸康复 接种疫苗自我...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	ICS联合LABA	呼吸困难	Medication	Symptom	ICS+LABA	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...虑 LABALAMA+LABA D CAT>EOS≥/μl ICS+LABA+三联治疗，尤其是重度或以上气流受限者 治疗后发生急性加重LAMA LAMA+LABA图慢性阻塞性肺疾病稳定期初始治疗推荐 的患者，根据血 水平推荐以下EOS种方案：若血 个 ，不EOS</μl在以改善呼吸困难为治疗目标的随访路径中，推荐使用 治疗，可添加罗氟司特；	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	吸入性糖皮质激素	呼吸困难	Medication	Symptom	ICS	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	在以减少急性加重为治疗目标的随访路径中， 无论是以改善呼吸困难还是控制急性加重为呼吸困难 急性加重LAMA LABA LA...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
疾病-并发症	流行性感冒	焦虑症	Disease	Complication	流行性感冒	焦虑	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	流行性感冒（流感）疫苗接种可肺患者焦虑抑郁症状，增加患者治疗依从性［ ...	待审核		由相关细化为疾病-并发症（类型组合规则）	cooccur
疾病-并发症	流行性感冒	抑郁症	Disease	Complication	流行性感冒	抑郁症	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	流行性感冒（流感）疫苗接种可肺患者焦虑抑郁症状，增加患者治疗依从性［ ］；	待审核		由相关细化为疾病-并发症（类型组合规则）	cooccur
治疗-改善-症状	肺减容手术	呼吸困难	Treatment	Symptom	肺减容术	呼吸困难	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	按需氧疗、无创通气、 学习吸入技术肺减容术、舒缓治疗 缓解呼吸困难 慢阻肺治疗的远期目标是降低患者病死率，表疫苗 制订行动计划...	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
疾病-并发症	肺栓塞	胸腔积液	Disease	Complication	肺栓塞	胸腔积液	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	cooccur	...吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢...	待审核		由相关细化为疾病-并发症（类型组合规则）	cooccur
检查-评估-症状	呼吸频率	呼吸困难	Examination	Symptom	呼吸频率	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...者呼吸性酸中毒，降低 、PaCO机械通气策略有助于早日撤机［呼吸频率、呼吸困难程度，缩短住院时间，减少病死（四）出院、访视及预防率和气管插...	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur
检查-评估-疾病	血气分析	呼吸困难	Examination	Symptom	血气分析	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...状，如突发或加观察症状和体征，连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡；	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur
检查-评估-疾病	血气分析	意识障碍	Examination	Symptom	血气分析	嗜睡	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...状，如突发或加观察症状和体征，连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡...	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur
检查-评估-疾病	呼吸频率	意识障碍	Examination	Symptom	呼吸频率	嗜睡	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡；	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur
诱发-急性加重	心力衰竭	呼吸困难	Disease	Symptom	心力衰竭	呼吸困难	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	...加重风险与严重程度 并借助客观检查进一步 水平升高有助于鉴别心力衰竭引起, NT-proBNP)确定如胸部CT肺气肿气道壁增厚及慢性支气 的急性呼吸困难[]。	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
疾病-症状	肺栓塞	呼吸困难	Disease	Symptom	肺栓塞	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治疗a：（）严重呼吸困难且对初始治密切监护生命体征；	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
疾病-治疗	肺栓塞	无创通气	Disease	Treatment	肺栓塞	无创通气	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治疗a：（）严重呼吸困难且对...	待审核		由相关细化为疾病-治疗（类型组合规则）	cooccur
药物-缓解-症状	糖皮质激素	呼吸困难	Medication	Symptom	糖皮质激素	呼吸困难	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	上 随访和家庭护理计划安排妥当 如随访基 气管舒张剂 吸入糖皮质激素对改善呼吸困难症状;() ( 、层社区医师家庭医疗等与肺功能减少急性加重有...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	抗菌药物	呼吸困难	Medication	Symptom	抗菌药物	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	"...
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治疗a：（）严重呼吸困难且对初始治密切监护生命体征；"	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
治疗-改善-症状	无创通气	呼吸困难	Treatment	Symptom	无创通气	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治疗a：（）严重呼吸困难且对初始治密切监护生命体征；	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
疾病-并发症	心肌梗死	心绞痛	Disease	Complication	心肌梗死	心绞痛	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺乏患者给予补充维 中、不稳定心绞痛、短暂性脑缺血发作）的风险增生素 ［］能有效预防慢阻肺急性加...	待审核		由相关细化为疾病-并发症（类型组合规则）	cooccur
疾病-治疗	心力衰竭	肺减容手术	Disease	Treatment	心力衰竭	肺减容术	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	对于接受长效支气管舒张剂治疗的慢阻肺肺减容术患者，如呼吸困难无明显好转，应注意心力衰竭。	待审核		由相关细化为疾病-治疗（类型组合规则）	cooccur
治疗-改善-症状	无创通气	乏力	Treatment	Symptom	无创通气	乏力	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	在常规治疗基础上加用无创通气，可状与慢阻肺类似，可能被忽视，例如心力衰竭导致 改善因慢阻肺急性加重所致高碳酸血症患者和心的呼吸困难，抑郁症导致的乏力及体能下降等。	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur
检查-筛查-疾病	CT	肺癌	Disease	Examination	肺癌	CT	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	目前市面上存在‑CTC FeNO往检查仍无法明确病因，或针对常见病因治疗无 多种品牌的 检测仪器，但健康人参考值尚未FeNO效，或怀疑支气管扩张、肺癌或异物等少见病因的 完全统一，且诊断嗜酸粒细胞性气道炎症的临...	待审核		由相关细化为检查-筛查-疾病（特殊实体对（反转））	cooccur
疾病-治疗	肺癌	戒烟	Disease	Treatment	肺癌	戒烟	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	患者，预防肺癌最好的措施是戒烟。	待审核		由相关细化为疾病-治疗（类型组合规则）	cooccur
药物-导致-并发症	ACEI	慢性咳嗽	Medication	Symptom	ACEI	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...March,Vol.,No.（四） 和其他药物诱发的咳嗽 表慢性咳嗽的少见病因ACEI咳嗽是 类降压药物的常见不良反应，发 分类 疾病ACEI生率...	待审核		由相关细化为药物-导致-并发症（上下文关键词）	cooccur
诱发-急性加重	阻塞性睡眠呼吸暂停	慢性咳嗽	Disease	Symptom	阻塞性睡眠呼吸暂停	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	引起咳嗽的独立危险因素包括：吸烟悬雍垂过长、阻塞性睡眠呼吸暂停% ACEI史、 引起咳嗽的既往史、东亚人（华人）等，与 气...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
药物-缓解-症状	吸入性糖皮质激素	慢性咳嗽	Medication	Symptom	ICS	咳嗽	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	表中西医联合防治慢性阻塞性肺疾病临床应用指南推荐意见摘要分期/合并症 目的 适用人群 证候 西医基础治疗 推荐意见 推荐...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
疾病-症状	流行性感冒	慢性咳嗽	Disease	Symptom	流行性感冒	咳嗽	35_咳嗽中医诊疗专家共识意见（2021）.txt	cooccur	...染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术...	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
药物-缓解-症状	第一代抗组胺药物	慢性咳嗽	Medication	Symptom	第一代抗组胺药物	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	推荐由第一代抗组胺药物、减充 亚急性咳嗽最常见的原因是 ，其次为‑C PICfmx...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	镇咳药物	慢性咳嗽	Medication	Symptom	镇咳药物	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	...e of Chest Physicians ACCP菌药物和镇咳药物，收效甚微并产生诸多不良反 洲呼吸学会（ ， ）等Europ...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
检查-评估-疾病	CT	慢性咳嗽	Examination	Symptom	CT	咳嗽	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...（ ）或 织的慢性非特异性炎症，临床上以咳嗽、咳痰为主A RCT系统评价或 分析Meta 要症状，或有喘息，每年发病持续 个...	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur
检查-评估-症状	CT	头痛	Examination	Symptom	CT	头痛	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	证据概述：项RCT研究（例）[] 提示与对照推荐依据：疏风解毒胶囊功擅疏风清热，解毒利咽， 组相比，联合痰热清注射液可缩短咳嗽、咳痰时间（MD联合使用可有效缓解慢阻肺患者发热，咳嗽，头痛，咽 -.，%CI：-.~-.）以及发热时间（MD -.，痛...	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur
诱发-急性加重	心肌梗死	慢性咳嗽	Disease	Symptom	心肌梗死	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...，有痰重症疾病 非重症疾病而不易咳出者使用祛痰剂或黏痰溶急性心肌梗死、左心衰竭、 感染 原有疾病加重 环境职业因素 解剂可在一定...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
药物-缓解-症状	口服抗菌药物	慢性咳嗽	Medication	Symptom	口服抗菌药物	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...inJGenPract March,Vol.,No.考虑给予口服抗菌药物。	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
诱发-急性加重	支气管炎	慢性咳嗽	Disease	Symptom	支气管炎	咳嗽	35_咳嗽中医诊疗专家共识意见（2021）.txt	cooccur	...等)联合会于武汉举办的肺系病学术交流会上进行了第和急性气管－支气管炎; 亚急性咳嗽主要包括感染二次共识论证会，根据专家意见进一步...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
诱发-急性加重	支气管炎	喘息	Disease	Symptom	支气管炎	喘息	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...性结果 性咳嗽，感染因素依旧存在，可能需要抗感染治疗，前，伴喘息的急性支气管炎成人患者，使用 受体 建议考虑此部分患者转诊至专科医院，明确...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
药物-缓解-症状	激动剂	慢性咳嗽	Medication	Symptom	激动剂	咳嗽	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	激动剂	喘息	Medication	Symptom	激动剂	喘息	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 mMRC为~分， mMRC≥分，CAT<分 CAT≥分 加重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	减充血剂	慢性咳嗽	Medication	Symptom	减充血剂	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	（）减充血剂与抗组胺药：减充血剂与第一 外证据表明，抗菌药物治疗对急性气...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	黏液溶解剂	慢性咳嗽	Medication	Symptom	黏液溶解剂	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	是炎症刺激上呼吸道咳嗽感受器所致，指南建议用 （）祛痰剂及黏液溶解剂等（如羧甲司坦 ，mg替代 ［］。	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	羧甲司坦	慢性咳嗽	Medication	Symptom	羧甲司坦	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...吸道咳嗽感受器所致，指南建议用 （）祛痰剂及黏液溶解剂等（如羧甲司坦 ，mg替代 ［］。	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
检查-评估-疾病	肺功能	喘息	Examination	Symptom	肺功能	喘息	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	有些哮喘患者肺功能已有明显下降，. UACS/PNDS等多种基础疾病，症状及体征差异较大且多无特异 但咳嗽仍为唯一症状或主要症状，也有部分典型哮性，因此，必须综合病史、体征及相关检查，在除外 喘患者在喘息症状缓解后，咳嗽成为主要症状。	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur
诱发-急性加重	糖皮质激素	慢性咳嗽	Medication	Symptom	糖皮质激素	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	...感染的病原菌对口服. ICS疗 周以上，初期可短期口服小剂量糖皮质激素 抗菌药物治疗无反应，或口服抗菌药物治疗失败时（ ）［ ， ...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
疾病-症状	慢性支气管炎	意识障碍	Disease	Symptom	慢性支气管炎	嗜睡	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	难治性 可使用巴氯芬治疗，但存在 与目前慢性支气管炎的诊断缺乏客观标准，在流行GERC GERC着一定程度的嗜睡...	待审核		由相关细化为疾病-症状（类型组合规则）	cooccur
药物-缓解-症状	受体阻断剂	慢性咳嗽	Medication	Symptom	受体阻断剂	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	... 颈椎病、肝海绵状血管瘤、迷走神经球瘤、乳糜泻、舌异丙酚、 受体阻断剂、来氟米特、辛伐他汀、 干下异位甲状腺、外耳道耵聍、胸膜子宫...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	长效β2受体激动剂	慢性咳嗽	Medication	Symptom	LABA	咳嗽	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...重，神疲、乏力或自汗，动则加重，畏风，易感冒，注：LABA=长效β 受体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	长效毒蕈碱拮抗剂	慢性咳嗽	Medication	Symptom	LAMA	咳嗽	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	次或次急性加重 一种支气管舒张剂 LAMA+LABA. . . 肺脾气虚 症状：咳嗽或喘息、气短，动则并且不需要入院 m...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
疾病-治疗	支气管扩张	体位引流	Disease	Treatment	支气管扩张	体位引流	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	体位引流对支气管扩张患咳嗽，抗真菌治疗有效。	待审核		由相关细化为疾病-治疗（类型组合规则）	cooccur
治疗-改善-症状	体位引流	慢性咳嗽	Treatment	Symptom	体位引流	咳嗽	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	cooccur	...排, ; ,采取有效诊断措施 痰治疗 如刺激咳嗽 叩击胸部 体位引流等方。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
药物-缓解-症状	抗菌药物	慢性咳嗽	Medication	Symptom	抗菌药物	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	...对口服. ICS疗 周以上，初期可短期口服小剂量糖皮质激素 抗菌药物治疗无反应，或口服抗菌药物治疗失败时（ ）［ ， （］ ）。	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
诱发-急性加重	抗组胺药物	慢性咳嗽	Medication	Symptom	抗组胺药物	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	...症状、避免急性加重，建议在患者一般情治疗：吸入 和（或）口服抗组胺药物治 况差和需要住院治疗时，或所感染的病原菌对口服. ICS疗...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur
检查-评估-疾病	CT	咳痰	Examination	Symptom	CT	咳痰	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...的随机对照试验（ ）或 织的慢性非特异性炎症，临床上以咳嗽、咳痰为主A RCT系统评价或 分析Meta 要症状，或有喘息，每年发病持续 个...	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur
疾病-并发症	肺癌	心绞痛	Disease	Complication	肺癌	胸痛	39_2019-对慢性阻塞性肺疾病若干问题的思考.txt	cooccur	...应 必须看到 临床评估和治疗中存在的一些问ACO高度警惕合并肺癌的可能：不明原因的发热、乏力、 题：（） 的病情评估是按照慢...	待审核		由相关细化为疾病-并发症（类型组合规则）	cooccur
治疗-改善-症状	手术切除	慢性咳嗽	Treatment	Symptom	手术切除	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	肺癌咳嗽的治疗关键在于原发灶的治 的慢性咳嗽病因检查，排除已知的慢性咳嗽病因，疗，放疗、化疗、射频消融术及手术切除肺部肿瘤能 针对慢性咳嗽病因治疗无效的情况下，方可考虑不够缓...	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
药物-缓解-症状	促胃动力药	慢性咳嗽	Medication	Symptom	促胃动力药	慢性咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	动力药：促胃动力药对缓解 相关症状可能有GERD诊断标准：（）慢性咳嗽，以白天咳嗽常见， 效，建议对于 患者，可在抑酸基础上联用促...	待审核		由相关细化为药物-缓解-症状（上下文关键词）	cooccur
药物-缓解-症状	中枢性镇咳药	慢性咳嗽	Medication	Symptom	中枢性镇咳药	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	中枢性镇咳药是指作用于延· · 中华全科医师杂志 年 月第 卷第 期 ，...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
治疗-改善-症状	补肺	慢性咳嗽	Treatment	Symptom	补肺	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	病情，及时识别以咳嗽为突出症状的危及生命的疾治法：补肺益肾，温阳止咳 病，并给予正确处理，迅速转诊至有治疗条件的上...	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
治疗-改善-症状	益肾	慢性咳嗽	Treatment	Symptom	益肾	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	病情，及时识别以咳嗽为突出症状的危及生命的疾治法：补肺益肾，温阳止咳 病，并给予正确处理，迅速转诊至有治疗条件的上方药...	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur
药物-缓解-症状	线胸片	流清涕	Medication	Symptom	线胸片	流清涕	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
药物-缓解-症状	线胸片	头痛	Medication	Symptom	线胸片	头痛	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur
