关系类型	头实体	尾实体	头类型	尾类型	头原文	尾原文	文献编号	匹配类型	精简上下文	审核状态	修改建议	备注	_source	人工判定	问题说明	置信度
疾病-症状	鼻窦炎	头痛	Disease	Symptom	鼻窦炎	头痛	35_咳嗽中医诊疗专家共识意见（2021）.txt	explicit	鼻窦炎表现为黏液性或脓性浊涕，常伴咽 热化痰; 痰黄如脓或腥臭，加薏苡仁、冬瓜仁、金喉不利，可有疼痛( 耳面部痛、头痛) 、嗅觉障碍等。	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
疾病-症状	结核中毒症状	慢性咳嗽	Disease	Symptom	结核中毒症状	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	其主要症状为慢性咳嗽，可伴有低嗽伴咳痰与其急性加重率增加、病死率增加 热、盗汗、消痩等结核中毒症状，部分患者咳嗽是其相关［ ］。	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
药物-缓解-症状	抗胆碱能药物	慢性咳嗽	Medication	Symptom	抗胆碱能药物	咳嗽	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	... 联合小青龙汤 弱推荐 专家共识闷，痰稀薄、量多，易咯出，效抗胆碱能药物）作为急性恶寒，舌苔白滑 加重的初始支气管舒张剂治疗；	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-缓解-症状	吸入性糖皮质激素	腹胀	Medication	Symptom	ICS	腹胀	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...体激动剂，LAMA=长效抗胆碱能制剂，纳呆或食少，胃脘胀满或腹胀或便溏，舌体胖大或EOS=嗜酸粒细胞计数，ICS=吸入性糖皮质激素。	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
疾病-症状	慢性阻塞性肺疾病	腹胀	Disease	Symptom	慢阻肺	腹胀	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...吸兴奋剂治疗无效并具备气 照组，联合加味凉膈散能够改善患者的腹胀证候评分管插管指征的患者较对照组，可以有效减少有创机械通 （...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	心力衰竭	吸入药物	Disease	Medication	充血性心力衰竭	吸入药物	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	cooccur	...包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的...	待审核		方向规范化：尾实体是Disease，反转方向（原吸入药物→心力衰竭）	cooccur	✗	吸入药物(支气管舒张剂等)用于COPD/哮喘, 不用于治疗心力衰竭	0.85
疾病-并发症	慢性阻塞性肺疾病	支气管扩张	Disease	Disease	慢阻肺	支气管扩张	医学知识锚定	anchored	方案B锚定：支气管扩张是慢阻肺的鉴别诊断	保留		由方案B补充锚定边：支气管扩张为慢阻肺鉴别诊断		✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	肺炎	长效β2受体激动剂	Disease	Medication	肺炎	LABA	33_2020-慢性阻塞性肺疾病的长期疾病管理.txt	cooccur	肺炎球菌LAMA/LABA ICS/LABA ICS/被证实是降...	待审核		方向规范化：尾实体是Disease，反转方向（原长效β2受体激动剂→肺炎）	cooccur	✗	LABA是支气管舒张剂, 用于COPD/哮喘, 不用于治疗肺炎	0.85
诱发-急性加重	流行性感冒	呼吸道感染	Disease	RiskFactor	流行性感冒	呼吸道感染	35_咳嗽中医诊疗专家共识意见（2021）.txt	cooccur	嗽主要包括急性上呼吸道感染 ( 包括普通感冒、年月日在中华中医药学会、世界中医药学会流行性感冒、急性咽喉炎、鼻炎、副鼻窦炎等)联合会于武汉举办的肺系病学术...	待审核		方向规范化：尾实体是Disease，反转方向（原呼吸道感染→流行性感冒）	cooccur	✓	"""呼吸道感染""是COPD急性加重的已知诱因，医学事实正确"	0.75
药物-治疗-疾病	非变应性鼻炎	减充血剂	Disease	Medication	非变应性鼻炎	减充血剂	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	是哮喘的一种特殊类型，咳嗽是其唯一或CVA（）病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在气推荐首选口服第一代抗组胺药和减充血剂治 道高反应性。	待审核		方向规范化：尾实体是Disease，反转方向（原减充血剂→非变应性鼻炎）	explicit	✓	减充血剂是治疗鼻炎的常用药物, 方向反了但医学事实正确	0.85
药物-缓解-症状	抗胆碱能药物	喘息	Medication	Symptom	抗胆碱能药物	喘息	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	（）将短效吸入性 β受外寒内饮证：咳嗽，喘息，胸 体激动剂（联合或不联合短 联合小青龙汤 弱推荐 专家共识闷，痰稀薄、量多，易咯出，效抗胆碱能药物）作为急性恶寒，舌苔白滑 加重的初始支气管舒张剂治疗；	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
检查-评估-疾病	血气分析	呼吸困难	Examination	Symptom	血气分析	呼吸困难	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...状，如突发或加观察症状和体征，连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡；	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur	✓	血气分析(PaO2/PaCO2)是评估呼吸困难和呼吸衰竭严重程度的金标准	0.85
治疗-改善-症状	益肾	呼吸困难	Treatment	Symptom	益肾	呼吸困难	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	次症: 喉中痰 证用补肺益肾方) 能够减少患者急性加重次数，改善鸣，肢体瘛疭甚则抽搐，舌质暗红、绛、紫，脉滑、 肺功能和呼吸困难程度，改善临床症状，提高运动耐数［］。	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
治疗-改善-症状	无创通气	咳痰	Treatment	Symptom	无创通气	咳痰	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...气，需要注意经 推荐依据：痰热清注射液功擅清热、化痰、解毒，无创通气初始治疗失败而接受有创通气的患者，其并发 联合使用改善慢阻肺急性加重期患者咳嗽咳痰等症状，症更多、住院时间更长、病死率更高，应用机械通气的 改...	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-缓解-症状	线胸片	流清涕	Medication	Symptom	线胸片	流清涕	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✗	"线胸片(X线胸片)是影像学检查, 不是药物, 不能""缓解""症状"	0.85
诱发-急性加重	慢性阻塞性肺疾病	心动过速	Disease	Symptom	慢阻肺	心动过速	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur	✗	"尾实体""心动过速""是症状，不应使用""诱发-急性加重""关系(应为疾病-症状)"	0.85
疾病-症状	肺炎	咳痰	Disease	Symptom	肺炎	咳痰	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	...COPD , AECOPD ,阻肺患者呼吸困难和 或 咳嗽 咳痰症状加重 的 种病原体是流感嗜血杆菌 卡他莫拉菌和肺炎( ) 、 ,、症状恶化发生在 内 可能伴有呼吸急促和 链球...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
疾病-并发症	心肌梗死	心绞痛	Disease	Complication	心肌梗死	心绞痛	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...氟司特）［ ］、大环内酯类 高风险患者发生心血管事件（死亡、心肌梗死、卒PDE‐抗生素［ ］及对维生素 重度缺乏患者给予补充维 中、不稳定心绞痛、短暂性脑缺血发作）的风险增生素 ［］能有效预防慢阻肺急性加...	待审核		由相关细化为疾病-并发症（类型组合规则）	cooccur	✓	"""心肌梗死""与""心绞痛""的合并症关系医学事实正确(类型标注偏差:Complication)"	0.75
药物-治疗-疾病	肺栓塞	抗菌药物	Disease	Medication	肺栓塞	抗菌药物	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	"...
或社区支持不足 有抗菌治疗指征者，在评估病原体、采样后应用抗菌药物有指征者，建议使用无创通气动态监测液体、电解质和酸碱平衡预防深静脉栓塞症评估和处理合并症（如心力衰竭、心律失常、肺栓塞等）符合以下任意条，考虑入ICU治疗a：（）严重呼吸困难且对..."	待审核		方向规范化：尾实体是Disease，反转方向（原抗菌药物→肺栓塞）	cooccur	✗	肺栓塞是血栓性疾病, 治疗以抗凝为主, 抗菌药物无效	0.85
诱发-急性加重	呼吸衰竭	抗感染	Disease	RiskFactor	呼吸衰竭	抗感染	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	推荐意见：对慢阻肺急性加重期合并呼吸衰竭且推荐意见：对于慢阻肺急性加重期合并呼吸衰竭， 存在有创机械通气指征，兼咳嗽、憋喘、心慌、面色苍兼发热、咳嗽、咯痰不利、舌红、苔黄的患者，在间断 白、四肢冰冷、冷汗淋漓、精神萎靡的患者，在有创—无创正压通气、吸氧、平喘、抗感染治疗的基础上，推 无创序贯机械通气和基础治疗（解痉平喘药物、...	待审核		方向规范化：尾实体是Disease，反转方向（原抗感染→呼吸衰竭）	cooccur	✓	"""抗感染""是COPD急性加重的已知诱因，医学事实正确"	0.75
检查-评估-疾病	血气分析	意识障碍	Examination	Symptom	血气分析	嗜睡	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	...状，如突发或加观察症状和体征，连续监测氧饱和度，间歇检测动脉血气分析，控重的静息呼吸困难、呼吸频率增快、氧合下降、意识改变、嗜睡...	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur	✓	高碳酸血症可导致肺性脑病和意识障碍, 血气分析是诊断和评估依据	0.85
药物-治疗-疾病	呼吸衰竭	支气管舒张剂	Disease	Medication	呼吸衰竭	支气管舒张剂	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	...受药物治疗 包括, , AECOPD ,杂气胸 新发生的严重呼吸衰竭 线胸片可疑支 使用支气管舒张剂 糖皮质激素和口服抗菌药物, ,X 、气管扩张症 肺不张 胸...	待审核		方向规范化：尾实体是Disease，反转方向（原支气管舒张剂→呼吸衰竭）	explicit	✗	支气管舒张剂用于COPD/哮喘气道痉挛, 呼吸衰竭需针对病因治疗(如抗感染、无创通气等)	0.85
治疗-改善-症状	活血	失眠	Treatment	Symptom	活血	失眠	50_慢性阻塞性肺疾病稳定期中医临床实践指南(征求意见稿)-2020年.txt	cooccur	适应症:益气活血，补仁;失眠者加远志、龙骨、牡蛎;腹泻者去肉苁蓉、熟地黄加车 肺固肾。	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-缓解-症状	支气管舒张剂	肺脾气虚	Medication	Symptom	支气管舒张剂	肺脾气虚证	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...推荐 C质量 患者 加重 初始吸入药物治疗：A组患者选择一种支气管舒张剂，肺脾气虚证：活动后气短，疲 联合补中益气汤 弱推荐 DB组和E组以L...	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
诱发-急性加重	支气管哮喘	口服抗菌药物	Disease	Medication	哮喘	口服抗菌药物	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	相关检查，治疗 感冒 急性支 其他 哮喘 慢性支 支气管 其他气管炎 气管炎 扩张 如有明确细菌感染征象，如咳脓性图急性咳嗽的诊断流程图 痰或外周血白细胞计数增高者，可· · 中华全科医师杂志 年 月第 卷第 期 ，ChinJGenPract March,Vol.,No.考虑给予口服抗菌药物。	待审核		方向规范化：尾实体是Disease，反转方向（原口服抗菌药物→支气管哮喘）	cooccur	✗	"尾实体""口服抗菌药物""是药物，不应使用""诱发-急性加重""关系(应为药物-治疗-疾病)"	0.85
检查-评估-疾病	CT	喘息	Examination	Symptom	CT	喘息	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	...（ ）或 织的慢性非特异性炎症，临床上以咳嗽、咳痰为主A RCT系统评价或 分析Meta 要症状，或有喘息，每年发病持续 个月或更长时证据来自有研究缺陷的 或低质量的...	待审核		由相关细化为检查-评估-疾病（上下文关键词）	cooccur	✗	"CT是影像学检查, 显示肺部结构, 不能直接""评估""喘息这一主观症状"	0.85
疾病-并发症	肺结核	代谢综合征	Disease	Complication	肺结核	代谢综合征	39_2019-对慢性阻塞性肺疾病若干问题的思考.txt	cooccur	...a October,,Vol.,No.阻肺很容易合并糖尿病、代谢综合征，而患糖尿病 须正视和重视慢阻肺与其发生的各种合并症之间后则容易并发肺结核。	待审核		由相关细化为疾病-并发症（类型组合规则）	cooccur	✓	"""肺结核""与""代谢综合征""的合并症关系医学事实正确(类型标注偏差:Complication)"	0.75
疾病-症状	非变应性鼻炎	慢性咳嗽	Disease	Symptom	非变应性鼻炎	咳嗽	30_咳嗽的诊断与治疗指南（2021）.txt	explicit	是哮喘的一种特殊类型，咳嗽是其唯一或CVA（）病因治疗： 非变应性鼻炎以及普通感冒： 主要临床表现，无明显喘息、气促等症状，但存在...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
治疗-改善-症状	肺康复	呼吸困难	Treatment	Symptom	肺康复	呼吸困难	24_【参考】中国慢性阻塞性肺疾病基层诊疗与管理指南（2024年）(周老师参与).txt	cooccur	肺康复是对患者进行全面评估后为患积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外者量身打造的个体化综合干预，是改善呼吸困难、并发症或合并症也是加重呼吸道症状的常见原因，健康状况和运动...	待审核		由相关细化为治疗-改善-症状（特殊实体对）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
诱发-急性加重	肺栓塞	空气污染	Disease	RiskFactor	肺栓塞	空气污染	42_慢性阻塞性肺疾病急性加重围出院期管理与随访指南（2024年版）-已解锁.txt	cooccur	...：（）最常见的诱发因素是呼吸道感染（）其他诱发因素包括吸烟、空气污染、吸入过敏原、手术、应用镇静药物、擅自停用吸入药物等（）气胸、胸腔积液、充血性心力衰竭、心律不齐、肺栓塞等肺内外并发症或合并症也是加重呼吸道症状的常见原因知晓减少慢...	待审核		方向规范化：尾实体是Disease，反转方向（原空气污染→肺栓塞）	cooccur	✗	"肺栓塞和空气污染都是AECOPD的诱因/并发症, 但两者之间没有直接的""诱发""因果关系"	0.85
治疗-改善-症状	活血	祛邪	Treatment	Symptom	活血	祛邪	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	...要》引《皆效方》加减［，］( 证据级别:D;推 瘀，故治疗当祛邪( 化痰、活血) 扶正( 补益肺气、补荐强度:强推荐使用) : 法半夏g、...	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
药物-治疗-疾病	慢性阻塞性肺疾病	吸入性糖皮质激素	Disease	Medication	慢性阻塞性肺疾病	ICS	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	explicit	...初始禁忌证或对 无有效应答，应降级减少或更换ICS ICS图慢性阻塞性肺疾病稳定期药物治疗的随访及流程· · 中华结核和呼吸杂志 年 月...	待审核		方向规范化：尾实体是Disease，反转方向（原吸入性糖皮质激素→慢性阻塞性肺疾病）	explicit	✓	"方向反转(原文应为""吸入性糖皮质激素""治疗""慢性阻塞性肺疾病"")，但医学事实正确"	0.8
治疗-改善-症状	戒烟	呼吸困难	Treatment	Symptom	戒烟	呼吸困难	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...技术及依从性 中药治疗 启动管理体力活动和运动 非药物治疗 戒烟 够控制呼吸困难和急性加重，仍然可以继续用，但需要进行呼吸康复 接种疫苗自我...	待审核		由相关细化为治疗-改善-症状（上下文关键词）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
疾病-治疗	慢性阻塞性肺疾病	活血	Disease	Treatment	慢阻肺	活血	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	explicit	...入的项研究（例）[，，]中，项项RCT研究[]报告，联合补肺活血胶囊治疗例 研究[]无安全性报告，项研究[]报告未发生不良反...	待审核			explicit	✓	实体在医学知识库中，关系类型合规	0.7
药物-缓解-症状	线胸片	脉浮	Medication	Symptom	线胸片	脉浮	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮紧。	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✗	"线胸片(X线胸片)是影像学检查, 不是药物, 不能""缓解""症状"	0.85
药物-治疗-疾病	支气管扩张	线胸片	Disease	Medication	支气管扩张	线胸片	30_咳嗽的诊断与治疗指南（2021）.txt	cooccur	...气 （）变应原皮试和血清 检查：用于检测患CTIgE管狭窄、支气管扩张等，对于一些少见的慢性咳嗽 者是否存在特应质和确定变应原类型，有助于变应病因，如支气管结石、复发性多软骨炎、支气管异 性疾病［如变应性鼻炎和变应性咳嗽（ ，atopiccough物、早期间质性肺疾病等， 线胸片不易发现此类 ）］的诊断。	待审核		方向规范化：尾实体是Disease，反转方向（原线胸片→支气管扩张）	cooccur	✗	"尾实体""线胸片""不是药物，关系类型错误(应为检查类关系)"	0.9
治疗-改善-症状	活血	气虚	Treatment	Symptom	活血	气虚	49_国际中医临床实践指南 慢性阻塞性肺疾病(2020).txt	cooccur	... 推荐强度: 强推荐使用) : 党参g、黄芪 中成药: 肺肾气虚兼血瘀者，可选补肺活血胶g、白术g、茯苓g、杏仁g、川贝母g、地龙 囊［-］( 证...	待审核		由相关细化为治疗-改善-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
检查-评估-症状	心电图	慢性咳嗽	Examination	Symptom	心电图	咳嗽	22_咳嗽基层诊疗指南（2018年）.txt	cooccur	...感性高症见咳嗽声重，气急咽痒，咳痰稀薄色白，鼻 但特异性低，心电图、 线胸片及超声心动图对鉴塞，流清涕，头痛，苔薄白，脉浮或浮...	待审核		由相关细化为检查-评估-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
诱发-急性加重	肺炎	激动剂	Disease	Medication	肺炎	激动剂	11_【参考】慢性阻塞性肺病（COPD）治疗药物临床研究指导原则-EMA.txt	cooccur	与特定活性药物组合相关的不良事件的评估，如长效β 激动剂和吸入性糖皮质激素联用，需要评估是否增加肺炎发生率或降低呼吸道感染。	待审核		方向规范化：尾实体是Disease，反转方向（原激动剂→肺炎）	cooccur	✗	"尾实体""激动剂""是药物，不应使用""诱发-急性加重""关系(应为药物-治疗-疾病)"	0.85
药物-治疗-疾病	慢性阻塞性肺疾病	长效β2受体激动剂	Disease	Medication	慢阻肺	LABA	68_2022_慢性阻塞性肺疾病免疫调节治疗专家共识.txt	explicit	obstructive lung disease，GOLD）建议血嗜酸粒细胞慢阻肺的免疫调节治疗计数> 个/μl的慢阻肺...	待审核		方向规范化：尾实体是Disease，反转方向（原长效β2受体激动剂→慢性阻塞性肺疾病）	explicit	✓	"方向反转(原文应为""长效β2受体激动剂""治疗""慢性阻塞性肺疾病"")，但医学事实正确"	0.8
药物-治疗-疾病	慢性阻塞性肺疾病	抗菌药物	Disease	Medication	COPD	抗菌药物	38_【主要参考】慢性阻塞性肺疾病急性加重诊治中国专家共识(2023年修订版)-已解锁.txt	explicit	西班牙 诊断和治疗指南中抗菌药物 患者 临床上发现合并医院获得性肺炎AECOPD AECOPD ,推荐[]:()对于无铜绿假单胞菌感染危 或者呼吸机相关性肺炎可以结合影像学痰液性状险因素的患者 主要依据 严重程度 当 与细菌学检查调整抗菌药物的应用 发, AECOPD 、 ;AECOPD地耐药状况 费用负担和依从性综合决定 可选用 展为医院获得性肺炎或呼吸机相关性肺炎时抗菌药阿莫西林 克拉维酸 左氧氟沙星或莫西沙星 物的应用 建议参照 慢性阻塞性肺疾病急性加重/ 、 。	待审核		方向规范化：尾实体是Disease，反转方向（原抗菌药物→慢性阻塞性肺疾病）	explicit	✓	"方向反转(原文应为""抗菌药物""治疗""慢性阻塞性肺疾病"")，但医学事实正确"	0.8
危险因素-疾病	吸烟	心血管疾病	Disease	RiskFactor	心血管疾病	吸烟	21_慢性阻塞性肺疾病诊治指南（2021年修订版）-主要参考.txt	cooccur	对于暂时没有戒烟意愿的吸烟者采取慢阻肺合并症的评估：在对慢阻肺患者进行 “ ”干预措施增强其戒烟动机，“ ”包括： 相关.RR ①病情严重程度的综合评估时，还应注意患者的各种 （ ）：使吸烟者认识到戒烟与其自身和家Relevance全身合并症，如心血管疾病（包括外周性血管疾 人的健康密切相关。	待审核		由相关细化为危险因素-疾病（特殊实体对（反转））	cooccur	✓	"方向反转(应为""心血管疾病""导致""吸烟""), 医学事实正确"	0.8
诱发-急性加重	支气管哮喘	心动过速	Disease	Symptom	支气管哮喘	心动过速	34_慢性阻塞性肺疾病中西医结合管理专家共识(2023版).txt	cooccur	...恶化，同时可伴有呼您父母、兄弟姐妹及子女中， 是是否有人患有支气管哮喘、慢 否吸急促和/或心动过速，通常与感染、污染物或其他性支气管炎、肺气肿或慢阻肺诱因所致...	待审核		由相关细化为诱发-急性加重（上下文关键词）	cooccur	✗	"尾实体""心动过速""是症状，不应使用""诱发-急性加重""关系(应为疾病-症状)"	0.85
药物-治疗-疾病	肺动脉高压	长效β2受体激动剂	Disease	Medication	肺动脉高压	LABA	43_【最新】中西医联合防治慢性阻塞性肺疾病临床应用指南（2025年11月）.txt	cooccur	...物、升级药物治疗方案至LAMA+LABA、实施或升级非肺合并肺动脉高压患者周，记录不良反应包括血氧 药物治疗措施，检查有无其他原因...	待审核		方向规范化：尾实体是Disease，反转方向（原长效β2受体激动剂→肺动脉高压）	cooccur	✗	LABA是COPD/哮喘用药, 不是肺动脉高压的标准治疗药物	0.85
药物-缓解-症状	激动剂	中成药	Medication	Symptom	激动剂	中成药	25_中成药治疗慢性阻塞性肺疾病临床应用指南（2021年）.txt	cooccur	干 预 措 施为此，在《中成药治疗优势病种临床应用指南》 （intervention/indicator，I）：中成药单独使用或联合标准化项目的委托下，中国中药协会肺病药物研究专 西医治疗（如长效胆碱能药物、长效β受体激动业委员会组成指南小组（The Joint Consensus Group， 剂、长效β受体激动剂/糖皮质激素等）；	待审核		由相关细化为药物-缓解-症状（类型组合规则）	cooccur	✓	实体在医学知识库中，关系类型合规	0.7
